/*-----------------------------------------------------------------
* NUMERO INDIVIDUOS: 10 	 CROSS-OVER: 0.90
* NUMERO GERACOES  : 100 	 MUTACAO   : 0.40
* NUM MAXIMO NOS   : 30 	 ELITISMO  : 0.05
* PROFUNDIDADE MAX : 3 	 
*-----------------------------------------------------------------*/
Seed 5: 
(+(-(sqrt(cos(/(*(cos(+(sin(sqrt(*(x1)(sqrt(x1)))))(/(cos(*(-(+(x1)(x1))(/(0.86096)(x1)))(0.13282)))(x1))))(0.53258))(0.49165))))(0.44603))(0.07883)) | Numero de nos: 30 | Erro: 434176532676608.0000000000000000000000000 |
MELHOR: (/(+(cos(/(x1)(*(cos(sin(+(sin(sin(/(+(0.80932)(*(+(+(cos(x1))(0.21122))(0.07175))(x1)))(x1))))(x1))))(x1))))(x1))(*(x1)(sqrt(0.07175)))) | Numero de nos: 30 | Erro: 434175593152512.0000000000000000000000000 |
MELHOR: (/(+(cos(/(*(sin(0.72289))(x1))(*(cos(sin(+(sin(sin(/(+(0.80932)(*(sin(0.72289))(x1)))(x1))))(x1))))(x1))))(x1))(*(x1)(sqrt(0.07175)))) | Numero de nos: 29 | Erro: 434175559598080.0000000000000000000000000 |
MELHOR: (/(+(cos(/(*(sin(0.72289))(x1))(*(cos(sin(+(sin(sin(/(+(0.80932)(*(sin(0.07175))(x1)))(x1))))(x1))))(x1))))(x1))(*(x1)(sqrt(0.07175)))) | Numero de nos: 29 | Erro: 434175559598080.0000000000000000000000000 |
MELHOR: (/(+(cos(/(0.07175)(0.64119)))(x1))(*(x1)(sqrt(0.07175)))) | Numero de nos: 11 | Erro: 434175559598080.0000000000000000000000000 |
MELHOR: (/(+(cos(/(0.07175)(*(cos(sin(+(sin(sin(/(+(0.80932)(*(+(+(cos(x1))(0.21122))(x1))(x1)))(0.72289))))(x1))))(x1))))(x1))(*(x1)(sqrt(0.07175)))) | Numero de nos: 30 | Erro: 434175559598080.0000000000000000000000000 |
MELHOR: (/(+(cos(/(x1)(x1)))(x1))(*(x1)(sqrt(0.07175)))) | Numero de nos: 11 | Erro: 434175559598080.0000000000000000000000000 |
MELHOR: (/(+(+(0.80932)(*(sqrt(0.07175))(x1)))(*(cos(sin(+(sin(x1))(x1))))(x1)))(*(x1)(sqrt(0.07175)))) | Numero de nos: 20 | Erro: 434175492489216.0000000000000000000000000 |
MELHOR: (/(+(+(0.80932)(*(sqrt(0.07175))(x1)))(*(cos(sin(0.43907)))(x1)))(*(x1)(sqrt(0.07175)))) | Numero de nos: 17 | Erro: 434175391825920.0000000000000000000000000 |
MELHOR: (/(+(+(0.80932)(/(sin(0.37660))(x1)))(*(cos(cos(sin(+(sin(cos(*(0.53566)(*(*(0.85455)(cos(0.22620)))(0.55147)))))(cos(0.85388))))))(x1)))(*(x1)(sqrt(0.07175)))) | Numero de nos: 30 | Erro: 434175828033536.0000000000000000000000000 |
MELHOR: (/(+(cos(/(0.07175)(*(cos(-(sin(0.78341))(0.01834)))(x1))))(x1))(sqrt(+(sqrt(sqrt(0.88598)))(cos(-(-(sin(+(-(0.80798)(x1))(x1)))(x1))(sin(x1))))))) | Numero de nos: 30 | Erro: 434174989172736.0000000000000000000000000 |
MELHOR: (/(+(cos(/(0.07175)(*(cos(-(sin(0.78341))(0.01834)))(x1))))(x1))(sqrt(+(sqrt(sqrt(0.88598)))(cos(-(-(sin(+(-(0.80798)(x1))(0.53566)))(x1))(sin(x1))))))) | Numero de nos: 30 | Erro: 434174250975232.0000000000000000000000000 |
MELHOR: (/(+(+(x1)(*(sqrt(0.07175))(0.07175)))(*(cos(cos(sin(+(sin(cos(*(0.53566)(*(*(0.85388)(cos(0.22620)))(0.55147)))))(cos(0.80932))))))(x1)))(*(x1)(sqrt(0.07175)))) | Numero de nos: 30 | Erro: 434174754291712.0000000000000000000000000 |
MELHOR: (/(+(+(x1)(*(sqrt(0.07175))(0.07175)))(*(cos(cos(sin(+(sin(cos(*(0.53566)(*(*(0.85388)(0.53566))(0.55147)))))(cos(0.80932))))))(x1)))(*(x1)(sqrt(0.07175)))) | Numero de nos: 29 | Erro: 434174754291712.0000000000000000000000000 |
MELHOR: (/(+(+(x1)(*(sqrt(0.07175))(0.07175)))(*(cos(cos(sin(+(sin(cos(*(0.53566)(*(*(0.80932)(sqrt(0.07175)))(0.55147)))))(cos(0.80932))))))(x1)))(*(x1)(sqrt(0.07175)))) | Numero de nos: 30 | Erro: 434174754291712.0000000000000000000000000 |
MELHOR: (/(+(+(x1)(*(cos(0.07175))(0.07175)))(*(cos(cos(sin(+(sin(cos(*(0.53566)(*(/(x1)(x1))(0.55147)))))(cos(0.80932))))))(x1)))(*(x1)(sqrt(0.07175)))) | Numero de nos: 29 | Erro: 434174754291712.0000000000000000000000000 |
MELHOR: (/(+(+(x1)(*(sqrt(0.07175))(x1)))(*(cos(cos(sin(+(sin(cos(*(/(/(-(x1)(x1))(0.43532))(x1))(x1))))(0.03681)))))(x1)))(*(x1)(sqrt(0.07175)))) | Numero de nos: 30 | Erro: 434174586519552.0000000000000000000000000 |

POPULACAO FINAL 
(/(+(+(x1)(*(cos(0.12378))(0.07175)))(*(cos(cos(sin(+(sin(cos(*(0.53566)(*(*(0.85388)(sqrt(0.07175)))(0.55147)))))(cos(0.80932))))))(x1)))(*(0.07175)(sqrt(x1)))) | Numero de nos: 30 | Erro: 434295986454528.0000000000000000000000000 |
(/(+(+(x1)(*(sqrt(0.07175))(x1)))(*(cos(cos(sin(+(sin(cos(*(/(/(-(x1)(x1))(0.43532))(x1))(x1))))(0.03681)))))(x1)))(*(x1)(sqrt(0.07175)))) | Numero de nos: 30 | Erro: 434174586519552.0000000000000000000000000 |
(/(+(+(x1)(*(sqrt(0.07175))(0.07175)))(*(0.56505)(x1)))(*(0.85455)(sqrt(0.07175)))) | Numero de nos: 15 | Erro: 434179149922304.0000000000000000000000000 |
(/(+(+(-(0.56188)(sqrt(0.90109)))(0.28593))(*(cos(cos(sin(+(sin(cos(*(cos(0.22620))(-(/(0.50459)(x1))(0.80932)))))(cos(x1))))))(x1)))(*(x1)(sqrt(0.07175)))) | Numero de nos: 30 | Erro: 434175928696832.0000000000000000000000000 |
(/(+(+(x1)(*(sqrt(0.07175))(0.07175)))(*(cos(cos(sin(+(sin(cos(*(0.53566)(*(*(0.85455)(cos(cos(x1))))(0.91052)))))(0.03681)))))(x1)))(*(x1)(sqrt(0.07175)))) | Numero de nos: 30 | Erro: 434175056281600.0000000000000000000000000 |
(/(+(+(x1)(*(sqrt(0.07175))(0.07175)))(*(cos(cos(sin(+(*(-(sqrt(/(sqrt(x1))(/(0.45228)(0.08115))))(0.47847))(0.91440))(0.03681)))))(x1)))(*(x1)(sqrt(0.07175)))) | Numero de nos: 30 | Erro: 434175156944896.0000000000000000000000000 |
(/(+(+(x1)(*(sqrt(0.07175))(0.07175)))(*(cos(cos(sin(+(sin(cos(*(cos(0.22620))(-(/(0.50459)(x1))(0.80932)))))(0.03681)))))(x1)))(*(x1)(sqrt(0.07175)))) | Numero de nos: 29 | Erro: 434175089836032.0000000000000000000000000 |
(/(+(+(0.80932)(*(sqrt(0.07175))(0.07175)))(*(cos(cos(sin(+(sin(cos(*(0.53566)(*(*(0.85455)(cos(x1)))(0.55147)))))(cos(0.85455))))))(x1)))(*(x1)(sqrt(0.07175)))) | Numero de nos: 30 | Erro: 434175828033536.0000000000000000000000000 |
(sin(sin(*(-(x1)(sin(0.94403)))(x1)))) | Numero de nos: 8 | Erro: 434176666894336.0000000000000000000000000 |
(/(+(+(x1)(*(sqrt(0.07175))(0.07175)))(*(cos(cos(cos(/(/(/(sqrt(/(/(0.84356)(x1))(0.06235)))(cos(x1)))(x1))(x1)))))(x1)))(*(x1)(sqrt(0.07175)))) | Numero de nos: 30 | Erro: 434174754291712.0000000000000000000000000 |

*MELHOR: (/(+(+(x1)(*(sqrt(0.07175))(x1)))(*(cos(cos(sin(+(sin(cos(*(/(/(-(x1)(x1))(0.43532))(x1))(x1))))(0.03681)))))(x1)))(*(x1)(sqrt(0.07175)))) | Numero de nos: 30 | Erro: 434174586519552.0000000000000000000000000 |

